gene,rho,p_spin,p_fdr,p_maxt
SH3BGRL,0.5661181310608286,0.00019998000199980003,0.023240100232401004,0.13788621137886212
RHBDL3,0.5650476470341295,0.0030996900309969004,0.04106152424481213,0.14278572142785723
CPLX1,0.5629696486293606,0.000999900009999,0.031175744214196468,0.15028497150284972
DENND1B,0.5627597498005961,0.0004999500049995,0.02719586197408628,0.1508849115088491
ZNF385A,0.5626338105033374,0.00029997000299970003,0.023240100232401004,0.15148485151484853
GPLD1,0.562109063431426,0.0034996500349965005,0.04274254103252095,0.15398460153984603
LINC01102,0.5619201544855379,0.0004999500049995,0.02719586197408628,0.15498450154984503
SCRT1,0.5618571848369085,0.0005999400059994001,0.028940502176197477,0.15548445155484453
FGF9,0.5609756097560974,0.0005999400059994001,0.028940502176197477,0.15948405159484053
USP45,0.5605768019814449,0.0006999300069993001,0.030330300303303002,0.1611838816118388
KLF9,0.5596742370177573,0.0006999300069993001,0.030330300303303002,0.1660833916608339
ADAM23,0.5587506821711934,0.0007999200079992001,0.030952061744498195,0.1690830916908309
P2RX6,0.5579530666218881,0.0012998700129987,0.03356903366902367,0.17268273172682733
SYT2,0.5577221779102473,0.0007999200079992001,0.030952061744498195,0.17398260173982602
