cell,stability_threshold,gene_set,n_genes,target,rho,p_spin,direction_h1,probe_selection,lr_mirror,missing,p_fdr
82f3a0226cf4,0.0,endothelial,6,discordance_overshoot,-0.14137470459850537,0.38076192380761925,negative,diff_stability,,,0.9938006199380062
82f3a0226cf4,0.0,endothelial,6,coupling_angle,0.049857761286332715,0.6970302969703029,negative,diff_stability,,,0.9458054194580542
82f3a0226cf4,0.0,endothelial,6,baseline_oef,-0.036326530612244896,0.8546145385461453,negative,diff_stability,,,0.9069093090690931
82f3a0226cf4,0.0,endothelial,6,macaque_vascular_CONTROL,0.3881215920592941,0.0428957104289571,negative,diff_stability,,,0.2716728327167283
82f3a0226cf4,0.0,pericyte_mural,4,discordance_extraction,0.13627837062204975,0.35136486351364865,negative,diff_stability,,,0.7816093390660934
82f3a0226cf4,0.0,pericyte_mural,4,discordance_overshoot,0.0018603566707409253,0.9915008499150085,negative,diff_stability,,,0.9938006199380062
82f3a0226cf4,0.0,pericyte_mural,4,coupling_angle,0.017551020408163264,0.8959104089591041,negative,diff_stability,,,0.9458054194580542
82f3a0226cf4,0.0,pericyte_mural,4,baseline_oef,-0.3896969696969697,0.0410958904109589,negative,diff_stability,,,0.2485751424857514
82f3a0226cf4,0.0,pericyte_mural,4,macaque_vascular_CONTROL,-0.1530566711289603,0.3715628437156284,negative,diff_stability,,,0.6931140219311401
82f3a0226cf4,0.0,astrocyte,4,discordance_extraction,-0.2286563995700203,0.11538846115388461,,diff_stability,,,0.7816093390660934
82f3a0226cf4,0.0,astrocyte,4,discordance_overshoot,0.2572067121077378,0.10318968103189681,,diff_stability,,,0.9938006199380062
82f3a0226cf4,0.0,astrocyte,4,coupling_angle,-0.05218305504019789,0.6838316168383162,,diff_stability,,,0.9458054194580542
82f3a0226cf4,0.0,astrocyte,4,baseline_oef,-0.14471243042671614,0.46265373462653736,,diff_stability,,,0.8850972045652578
82f3a0226cf4,0.0,astrocyte,4,macaque_vascular_CONTROL,-0.2260206136197908,0.20087991200879912,,diff_stability,,,0.5524197580241976
82f3a0226cf4,0.0,glucose_lactate_transport,5,discordance_extraction,0.1916840999487733,0.1917808219178082,positive,diff_stability,,,0.7816093390660934
82f3a0226cf4,0.0,glucose_lactate_transport,5,discordance_overshoot,-0.1791957557146684,0.2655734426557344,positive,diff_stability,,,0.9938006199380062
82f3a0226cf4,0.0,glucose_lactate_transport,5,coupling_angle,0.06332714904143474,0.6160383961603839,positive,diff_stability,,,0.9458054194580542
82f3a0226cf4,0.0,glucose_lactate_transport,5,baseline_oef,0.023549783549783546,0.9069093090690931,positive,diff_stability,,,0.9069093090690931
82f3a0226cf4,0.0,glucose_lactate_transport,5,macaque_vascular_CONTROL,0.3299158694398189,0.0811918808119188,positive,diff_stability,,,0.29770356297703565
82f3a0226cf4,0.0,glycolytic_enzymes,6,discordance_extraction,0.08504683314989742,0.5564443555644436,positive,diff_stability,,,0.7816093390660934
82f3a0226cf4,0.0,glycolytic_enzymes,6,discordance_overshoot,0.011614826814325843,0.9452054794520548,positive,diff_stability,,,0.9938006199380062
