gene,rho,p_spin,p_fdr
FBXO28,0.1711731173117312,0.11678832116788321,0.9994302520775813
PPP2R2D,0.16996099609960996,0.12988701129887012,0.9994302520775813
TRPC5,0.1698649864986499,0.13658634136586342,0.9994302520775813
FCHO1,0.1698409840984099,0.15158484151584842,0.9994302520775813
CSTF2,0.16976897689768977,0.1436856314368563,0.9994302520775813
LIMK1,0.16973297329732973,0.1466853314668533,0.9994302520775813
KBTBD12,0.16932493249324937,0.1693830616938306,0.9994302520775813
ADGRA2,0.1693249324932493,0.1414858514148585,0.9994302520775813
FBLN7,0.16926492649264935,0.1523847615238476,0.9994302520775813
UBE2Q2,0.16924092409240926,0.15598440155984403,0.9994302520775813
CORO7,0.16912091209120914,0.17098290170982902,0.9994302520775813
TMEM267,0.16894089408940893,0.13928607139286073,0.9994302520775813
ZW10,0.1688448844884489,0.1372862713728627,0.9994302520775813
RRNAD1,0.16883288328832882,0.1743825617438256,0.9994302520775813
LPGAT1,0.16880888088808885,0.13708629137086292,0.9994302520775813
IPCEF1,0.16862886288628867,0.15128487151284872,0.9994302520775813
GPR161,0.16860486048604867,0.18238176182381763,0.9994302520775813
YBX2,0.16853285328532858,0.1638836116388361,0.9994302520775813
ZNF641,0.16850885088508857,0.143985601439856,0.9994302520775813
CDCA5,0.1683528352835284,0.1331866813318668,0.9994302520775813
GIN1,0.16820882088208822,0.1411858814118588,0.9994302520775813
AFAP1L1,0.16813681368136815,0.16598340165983402,0.9994302520775813
NGEF,0.1680528052805281,0.1483851614838516,0.9994302520775813
MICU3,0.16789678967896787,0.1546845315468453,0.9994302520775813
ROBO4,0.1678487848784879,0.134986501349865,0.9994302520775813
MIR100HG,0.16771677167716775,0.14278572142785723,0.9994302520775813
SMOC2,0.16762076207620766,0.1521847815218478,0.9994302520775813
KPNA5,0.16748874887488752,0.15948405159484053,0.9994302520775813
DNASE1L2,0.16742874287428744,0.14108589141085892,0.9994302520775813
GPX3,0.16729672967296733,0.18588141185881413,0.9994302520775813
RERGL,0.16723672367236725,0.1690830916908309,0.9994302520775813
MBTPS2,0.16717671767176723,0.1202879712028797,0.9994302520775813
ELOVL4,0.1671527152715272,0.15378462153784622,0.9994302520775813
SLC7A5,0.16702070207020703,0.14358564143585642,0.9994302520775813
OR7E91P,0.16620462046204626,0.1568843115688431,0.9994302520775813
TADA2B,0.16602460246024603,0.16928307169283072,0.9994302520775813
LRCH1,0.16592859285928596,0.16968303169683033,0.9994302520775813
FASTKD5,0.16590459045904593,0.16448355164483552,0.9994302520775813
COL24A1,0.16589258925892592,0.17818218178182182,0.9994302520775813
TPGS2,0.16534053405340537,0.15548445155484453,0.9994302520775813
MAPK13,0.16525652565256527,0.16278372162783722,0.9994302520775813
EPC2,0.1651125112511251,0.1820817918208179,0.9994302520775813
C9orf129,0.16474047404740477,0.13208679132086792,0.9994302520775813
DOK3,0.1642724272427243,0.18288171182881713,0.9994302520775813
B4GALT6,0.16416441644164423,0.15458454154584542,0.9994302520775813
ARL6IP5,0.16410441044104412,0.13508649135086492,0.9994302520775813
GOLPH3,0.1638763876387639,0.148985101489851,0.9994302520775813
CD320,0.1636963696369637,0.15078492150784922,0.9994302520775813
PREP,0.16326432643264333,0.13738626137386262,0.9994302520775813
PRUNE2,0.16310831083108315,0.15878412158784122,0.9994302520775813
ARHGAP9,0.16303630363036306,0.1877812218778122,0.9994302520775813
CDCA8,0.16302430243024302,0.16048395160483953,0.9994302520775813
FGF7P6,0.16290429042904292,0.14378562143785623,0.9994302520775813
PCDHB16,0.16272427242724274,0.16928307169283072,0.9994302520775813
TK1,0.16272427242724274,0.14588541145885411,0.9994302520775813
TSPAN5,0.16268826882688273,0.1461853814618538,0.9994302520775813
SORL1,0.16254425442544257,0.18568143185681432,0.9994302520775813
SLC25A40,0.1623762376237624,0.15778422157784222,0.9994302520775813
FTCD,0.16220822082208225,0.16028397160283972,0.9994302520775813
LDLRAD4,0.16201620162016206,0.1571842815718428,0.9994302520775813
SLFN11,0.16200420042004204,0.1481851814818518,0.9994302520775813
RFPL1S,0.16168016801680174,0.13838616138386162,0.9994302520775813
TESPA1,0.1616441644164417,0.18248175182481752,0.9994302520775813
CAPS2,0.16163216321632165,0.17328267173282672,0.9994302520775813
USP6NL,0.16152415241524154,0.1611838816118388,0.9994302520775813
C2orf27A,0.16102010201020106,0.1934806519348065,0.9994302520775813
SERPINB9,0.1602640264026403,0.192980701929807,0.9994302520775813
SNN,0.16003600360036008,0.18568143185681432,0.9994302520775813
ZNF419,0.15997599759976,0.1441855814418558,0.9994302520775813
TPK1,0.15990399039903994,0.23567643235676433,0.9994302520775813
PIM3,0.1594479447944795,0.2014798520147985,0.9994302520775813
EIF4E,0.15943594359435947,0.16398360163983602,0.9994302520775813
WAPL,0.15942394239423943,0.19708029197080293,0.9994302520775813
ZNF324,0.1593039303930393,0.19568043195680432,0.9994302520775813
PDE4B,0.1593039303930393,0.17618238176182383,0.9994302520775813
KBTBD2,0.1592799279927993,0.18418158184181582,0.9994302520775813
ZNF317,0.15912391239123916,0.15908409159084091,0.9994302520775813
KLF12,0.15895589558955897,0.21227877212278773,0.9994302520775813
PCAT6,0.1587878787878788,0.11968803119688032,0.9994302520775813
PAK1,0.1586918691869187,0.1511848815118488,0.9994302520775813
NKAIN1,0.15834383438343838,0.1800819918008199,0.9994302520775813
SH3BP5L,0.15821182118211824,0.1513848615138486,0.9994302520775813
KLHL29,0.15811581158115814,0.18718128187181282,0.9994302520775813
CBLN4,0.1580558055805581,0.17638236176382363,0.9994302520775813
FES,0.1579117911791179,0.2064793520647935,0.9994302520775813
KIAA0753,0.15774377437743778,0.17348265173482652,0.9994302520775813
DBNDD1,0.15761176117611767,0.18118188181181882,0.9994302520775813
CTXN3,0.15750375037503753,0.21357864213578642,0.9994302520775813
HERC1,0.1574557455745575,0.1493850614938506,0.9994302520775813
RACGAP1,0.15733573357335737,0.1907809219078092,0.9994302520775813
ELP2,0.15727572757275726,0.18388161183881613,0.9994302520775813
DYNLL2,0.15723972397239724,0.16418358164183583,0.9994302520775813
