gene,rho,p_spin,p_fdr
BAHD1,-0.12318493917941675,0.2181781821817818,0.5705650143432524
SYT4,-0.12326919288739033,0.3631636836316368,0.6794703944239722
SLIRP,-0.12333539222936962,0.2742725727427257,0.6133953416885386
DPYSL4,-0.12348584527932252,0.271972802719728,0.6112813857787969
TLL1,-0.12350991776731496,0.3417658234176582,0.6646628829140382
SLC24A3,-0.12363629832927536,0.2703729627037296,0.6099682922424562
ALDH7A1,-0.12367240706126403,0.3742625737426257,0.6856114959660625
CCEPR,-0.12375064264723953,0.3130686931306869,0.6460118409945965
ALYREF,-0.12382286011121696,0.2736726327367263,0.6131258077463281
TSPAN33,-0.12382887823321508,0.33996600339966004,0.6646628829140382
STAT4,-0.123985349405166,0.47625237476252374,0.7464962186110295
RPL30,-0.12402747625915284,0.28257174282571745,0.6202025291033129
MAN1A1,-0.12413580245511888,0.35206479352064796,0.6708364851247217
HIST1H2BK,-0.12420200179709814,0.33086691330866913,0.6591264309852429
LINC00595,-0.12425616489508118,0.37936206379362064,0.6878010851715586
RNF216,-0.12437050921304538,0.26887311268873115,0.6093661940205272
TUBB6,-0.12460521597097189,0.3046695330466953,0.6385573737708196
GRIK2,-0.12464132470296053,0.36736326367363265,0.6820047424105604
TENM3,-0.12495426704686252,0.33866613338666135,0.6644265752452888
PIFO,-0.1249723214128569,0.2673732626737326,0.6087920148323547
RCSD1,-0.12498435765685313,0.3351664833516648,0.6606017712719993
ZDHHC14,-0.1250505569988324,0.24747525247475252,0.5920714330058604
MYL12B,-0.1250926838528192,0.35566443355664434,0.6731561484858176
ANO7,-0.12509870197481732,0.33036696330366966,0.6591014240578543
MPI,-0.12515888319479848,0.3398660133986601,0.6646628829140382
CORO1A,-0.12523110065877585,0.31386861313868614,0.6460118409945965
SH3RF1,-0.12524313690277206,0.36366363363663634,0.6798276112018788
TCTE1,-0.12530933624475132,0.24787521247875213,0.5920714330058604
TRMT12,-0.12537553558673062,0.28887111288871115,0.6254789306622385
DHX58,-0.12570653229662693,0.31326867313268675,0.6460118409945965
RAB13,-0.12574264102861563,0.31856814318568144,0.6495843238642643
IFT52,-0.1258088403705949,0.24317568243175683,0.5893840947658788
C1orf35,-0.12590513032256473,0.35766423357664234,0.6747767672814617
LINC01750,-0.1260074383965327,0.3658634136586341,0.6812818475669407
MS4A15,-0.1261759458124799,0.2742725727427257,0.6133953416885386
C6orf52,-0.12642268881440263,0.32486751324867513,0.6551153244297021
AP3M2,-0.1265671237423574,0.28577142285771423,0.6234791196648254
GRASP,-0.12657314186435548,0.2823717628237176,0.6201184633898477
SERF2,-0.1265731418643555,0.37776222377762225,0.6871250374962503
OTUD4,-0.12659119623034984,0.2542745725427457,0.5988763420249931
ZXDC,-0.12662128684034038,0.2602739726027397,0.6037873842603648
CSE1L,-0.126807848622282,0.2318768123187681,0.5797676099404401
NOL4,-0.12683793923227252,0.3471652834716528,0.6678293072948345
NLK,-0.126862011720265,0.35236476352364765,0.6708364851247217
SAMD11,-0.126862011720265,0.25747425257474255,0.601243528615175
PARD3,-0.12687404796426122,0.26617338266173385,0.6078642507883776
ZSWIM7,-0.12698839228222542,0.31086891310868914,0.6438108618943721
RAB3C,-0.12700644664821975,0.31816818318168183,0.6492865478017242
CNTN3,-0.1270245010142141,0.32216778322167783,0.6526177635668324
ARHGAP29,-0.12702450101421411,0.41425857414258577,0.7128258237433323
TBC1D24,-0.12715088157617455,0.37246275372462756,0.6850064214388919
EXPH5,-0.1272471715281444,0.3017698230176982,0.6363046488094456
TUBB4B,-0.12737957021210292,0.28157184281571845,0.6194257545854248
CYP4V2,-0.12737957021210294,0.24277572242775722,0.5887867741837893
C11orf71,-0.12740364270009538,0.27117288271172885,0.6106027601465206
DOK6,-0.12758418636003885,0.36306369363063695,0.679449034847674
ACVR2A,-0.12770454880000112,0.3010698930106989,0.6357747443962619
RHBDF2,-0.12798138241191442,0.38676132386761325,0.6925411100346549
ANOS1,-0.1280295273878993,0.37606239376062395,0.6857082535150336
ZIK1,-0.12805961799788992,0.24727527247275272,0.5920714330058604
PLA2G4A,-0.12808970860788052,0.2706729327067293,0.6099682922424562
CALB2,-0.1282461797798315,0.39816018398160186,0.7004096794720162
